source, question, answer, rating
3-4-18-generation,-1-230-1-240123012401-2-30-1-2-401-230-12-40-2-340-1340-12-30-1-3-40-1240-234023401-2402-340-13-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-12-30123013401-240-2-340-1-340-1230-1-24013-401-2-40-1-2-301-340-1240-2-3-40-13-401-3-4012401-2-300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,2-3-40-1-3-4023-40-1-2-30-13401-2-3023401-340-12-302-34013-401-23012-30-1-2301-2401-2-40-1-2401-3-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-3402340-234013-401240-1-240-12401-3-4012-40-1-2301-2-3023-40-1-3-402-3401230-1-340-1-2-401-2300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,2-3-40-1-230-13401-240-1240-23401-2-4012-3012401-23012-401-2-30-2-340-12-3023-4012301-340-1-2-300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1240-23-40-1-3-40-13-4012-3012301-3-4012402-34013-401-240-12-40-1-2301-2-30-1-2-40-13402-3-4013400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-1-3-40-1-24023401-240-12401240-12-402-3-401-340-1-34012-301-2-40-12-3013-4012-40-13-40-23402-3400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1-240-23401-2-4013-40-1-2-401-3-401240-12-301-230-1-3401-3401230-23-40-1-2302340-1340-1-3-40-2-3-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-2-3-4023-40-1-340-2-340-1-230-23-40-13401-2301-3401-3-4012-40-12-301-2-401-2-30-1-2-30-13-402-340-1-2-400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,2-340-2-3401-240-1-240-12301-2-4013-401-3-40-12-301-340-12401-230-1-2-30123012401340-23-401-2-300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1-3-40-1-230-23-40-123013-40-12-4012-3023401230-1340-2-3-401340-12-3012-401-3-40-1-340-2340-1-2400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-1-3-40-1-2-402-3-40-23401340-134023-401-23012301-2-401-3-40-1-240-2-340-123012-30-2-3-40-23-40-1-2-300000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,-13-4023401-3-40-2-340-12402-340-12-401-23012301240-1-240-1-230-23-40-23402-3-40-2-3-40-1-3-401-3400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-12302-34012-40-1-2-30-1-240-13-40-23-401-3-40-134013-40-2-3-401-240-2-3401-2-30-12-4023401230-23400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-12302340-1-2-40-2-3401-230-1-2-301340-13-40-1-2402-3-40-12-301-3-40-2-3-40-2340-13401-3402-34012300000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,23-401-340-1-3-402-340-12301-230-12-301230234012-30-1-2-3012401-240-1-2-40-12402-3-4013-4013400000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,90
3-4-18-generation,1-34013-40-13-401340-12-301-2-302-3-40-1-3-40-23401-230-12-40-12301230-1340-23-40-1-2-3012401-3-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1-230-2-3402-3401-2-30124012301340-13-40-12401-24013-40-1-2-30-1-2-40-13401-340-23-40-12-402-3-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-2-30-13-4012-40-1-3-40-1-2-3023401230-1-2401-2-402-3401-240-1340-1-2302-3-40-23-40-12-40-2-3-4023-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,1-240-1-340-1-24012-302-3-401-2-30-23-401-3-40134013-40-2-3-40-134012401-230-12-30-13-401-2-40-12-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
3-4-18-generation,-1340-23-40-12301-240-1-3-401-2-301-3-401240234012-401340-12-30-1-34023-40-13-40-12-401230-2-3-400000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,90
